ProblemID,Group,n,m,Replication,Seed,PoolSize,PoolBest,PoolMean,PoolSD,PoolWorst,EliteN,PoorN,TieMode,ElapsedSec,HistoricalPRAuditPass,HistoricalPRMatched,HistoricalPRChecked
Ta100_10_9,100×10,100,10,4,181304237,1000000,6324,6927.086471,152.15350742738724,7765,50000,100000,numpy_quicksort,3.109063621000132,True,10,10
Ta100_10_9,100×10,100,10,5,181305246,1000000,6349,6927.347458,152.2375857704685,7802,50000,100000,numpy_quicksort,2.63416971300012,True,10,10
Ta100_10_10,100×10,100,10,1,181401210,1000000,6285,6849.59724,149.16666703079798,7685,50000,100000,numpy_quicksort,2.671463034999761,True,10,10
Ta100_10_10,100×10,100,10,2,181402219,1000000,6273,6849.749115,149.29083340737873,7776,50000,100000,numpy_quicksort,2.635825671999555,True,10,10
Ta100_10_10,100×10,100,10,3,181403228,1000000,6287,6849.753156,149.21038195708016,7630,50000,100000,numpy_quicksort,2.5643903780000983,True,10,10
Ta100_10_10,100×10,100,10,4,181404237,1000000,6295,6849.095202,149.0895712391697,7739,50000,100000,numpy_quicksort,2.7811029160002363,True,10,10
Ta100_10_10,100×10,100,10,5,181405246,1000000,6299,6849.878915,149.34229306041632,7670,50000,100000,numpy_quicksort,2.640977875999852,True,10,10
Ta100_20_1,100×20,100,20,1,190501210,1000000,7217,7811.65112,147.31662617957943,8617,50000,100000,numpy_quicksort,4.395425738000085,True,10,10
Ta100_20_1,100×20,100,20,2,190502219,1000000,7218,7811.679756,147.24962156226923,8697,50000,100000,numpy_quicksort,3.372860534999745,True,10,10
Ta100_20_1,100×20,100,20,3,190503228,1000000,7176,7811.246181,147.04648993629684,8598,50000,100000,numpy_quicksort,3.396040057999926,True,10,10
Ta100_20_1,100×20,100,20,4,190504237,1000000,7182,7811.54052,147.2250385408052,8607,50000,100000,numpy_quicksort,3.243439240000044,True,10,10
Ta100_20_1,100×20,100,20,5,190505246,1000000,7185,7811.646038,147.16182394053487,8638,50000,100000,numpy_quicksort,3.224198478000289,True,10,10
Ta100_20_2,100×20,100,20,1,190601210,1000000,7161,7839.88312,154.88458414025587,8759,50000,100000,numpy_quicksort,3.238009175000116,True,10,10
Ta100_20_2,100×20,100,20,2,190602219,1000000,7193,7839.578561,154.8925414791451,8694,50000,100000,numpy_quicksort,3.3474529489994893,True,10,10
Ta100_20_2,100×20,100,20,3,190603228,1000000,7223,7839.739434,154.93177128405068,8732,50000,100000,numpy_quicksort,3.489244547999988,True,10,10
Ta100_20_2,100×20,100,20,4,190604237,1000000,7198,7839.681686,154.86128051328262,8738,50000,100000,numpy_quicksort,3.2969398940003884,True,10,10
Ta100_20_2,100×20,100,20,5,190605246,1000000,7166,7839.857519,154.9161911395672,8738,50000,100000,numpy_quicksort,4.458037210999464,True,10,10
Ta100_20_3,100×20,100,20,1,190701210,1000000,7205,7821.557214,144.85324948036924,8644,50000,100000,numpy_quicksort,4.354809573000239,True,10,10
